id,slug,date,url,title,excerpt,site
http://www.exploreplasticsurgery.com/2014/04/30/18237/,18237,,http://www.exploreplasticsurgery.com/2014/04/30/18237/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2014/06/29/a-facial-implant-approach-to-treat-facial-wasting-severe-lipoatrophy/,a-facial-implant-approach-to-treat-facial-wasting-severe-lipoatrophy,,http://www.exploreplasticsurgery.com/2014/06/29/a-facial-implant-approach-to-treat-facial-wasting-severe-lipoatrophy/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2014/05/21/a-study-of-the-macs-facelift/,a-study-of-the-macs-facelift,,http://www.exploreplasticsurgery.com/2014/05/21/a-study-of-the-macs-facelift/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2009/09/18/ablative-and-non-ablative-facial-laser-treatments/,ablative-and-non-ablative-facial-laser-treatments,,http://www.exploreplasticsurgery.com/2009/09/18/ablative-and-non-ablative-facial-laser-treatments/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2014/11/06/an-anatomic-study-of-botox-injections-for-drooping-mouth-corners/,an-anatomic-study-of-botox-injections-for-drooping-mouth-corners,,http://www.exploreplasticsurgery.com/2014/11/06/an-anatomic-study-of-botox-injections-for-drooping-mouth-corners/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2013/08/04/asian-facial-reshaping-by-cheek-narrowing-and-jaw-angle-reduction/,asian-facial-reshaping-by-cheek-narrowing-and-jaw-angle-reduction,,http://www.exploreplasticsurgery.com/2013/08/04/asian-facial-reshaping-by-cheek-narrowing-and-jaw-angle-reduction/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2013/06/03/botox-and-its-effect-on-smiling/,botox-and-its-effect-on-smiling,,http://www.exploreplasticsurgery.com/2013/06/03/botox-and-its-effect-on-smiling/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2013/09/12/botox-approved-for-crows-feet-wrinkles/,botox-approved-for-crows-feet-wrinkles,,http://www.exploreplasticsurgery.com/2013/09/12/botox-approved-for-crows-feet-wrinkles/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2013/10/09/botox-for-platysmal-neck-bands/,botox-for-platysmal-neck-bands,,http://www.exploreplasticsurgery.com/2013/10/09/botox-for-platysmal-neck-bands/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2014/01/06/botox-injections-for-keloid-scars/,botox-injections-for-keloid-scars,,http://www.exploreplasticsurgery.com/2014/01/06/botox-injections-for-keloid-scars/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2014/08/11/botox-injections-for-lower-facial-contouring-masseter-muscle-reduction/,botox-injections-for-lower-facial-contouring-masseter-muscle-reduction,,http://www.exploreplasticsurgery.com/2014/08/11/botox-injections-for-lower-facial-contouring-masseter-muscle-reduction/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2009/07/09/brazilian-bikini-lined-waxing-and-infections-risks/,brazilian-bikini-lined-waxing-and-infections-risks,,http://www.exploreplasticsurgery.com/2009/07/09/brazilian-bikini-lined-waxing-and-infections-risks/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2009/04/18/breast-cancer-and-breast-reconstruction-on-doc-chat-radio-show/,breast-cancer-and-breast-reconstruction-on-doc-chat-radio-show,,http://www.exploreplasticsurgery.com/2009/04/18/breast-cancer-and-breast-reconstruction-on-doc-chat-radio-show/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2009/11/04/breast-reduction-and-the-risk-of-breast-cancer/,breast-reduction-and-the-risk-of-breast-cancer,,http://www.exploreplasticsurgery.com/2009/11/04/breast-reduction-and-the-risk-of-breast-cancer/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2014/01/25/can-breast-implants-freeze/,can-breast-implants-freeze,,http://www.exploreplasticsurgery.com/2014/01/25/can-breast-implants-freeze/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2014/05/19/case-study-breast-lift-with-implants-for-postpartum-sagging/,case-study-breast-lift-with-implants-for-postpartum-sagging,,http://www.exploreplasticsurgery.com/2014/05/19/case-study-breast-lift-with-implants-for-postpartum-sagging/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2013/05/10/case-study-cankle-liposuction/,case-study-cankle-liposuction,,http://www.exploreplasticsurgery.com/2013/05/10/case-study-cankle-liposuction/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2014/06/07/case-study-chin-narrowing-surgery-by-lateral-ostectomies/,case-study-chin-narrowing-surgery-by-lateral-ostectomies,,http://www.exploreplasticsurgery.com/2014/06/07/case-study-chin-narrowing-surgery-by-lateral-ostectomies/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2010/08/30/case-study-combined-vertical-and-horizontal-chin-lengthening-in-men/,case-study-combined-vertical-and-horizontal-chin-lengthening-in-men,,http://www.exploreplasticsurgery.com/2010/08/30/case-study-combined-vertical-and-horizontal-chin-lengthening-in-men/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2014/10/05/case-study-custom-occipital-implant-in-a-hair-transplant-patient/,case-study-custom-occipital-implant-in-a-hair-transplant-patient,,http://www.exploreplasticsurgery.com/2014/10/05/case-study-custom-occipital-implant-in-a-hair-transplant-patient/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2013/11/15/case-study-facelift-with-chin-augmentation/,case-study-facelift-with-chin-augmentation,,http://www.exploreplasticsurgery.com/2013/11/15/case-study-facelift-with-chin-augmentation/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2014/10/21/case-study-forehead-augmentation-for-forehead-horns/,case-study-forehead-augmentation-for-forehead-horns,,http://www.exploreplasticsurgery.com/2014/10/21/case-study-forehead-augmentation-for-forehead-horns/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2013/08/29/case-study-full-facelift-for-neck-wattle-correction/,case-study-full-facelift-for-neck-wattle-correction,,http://www.exploreplasticsurgery.com/2013/08/29/case-study-full-facelift-for-neck-wattle-correction/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2014/09/19/case-study-healing-and-scars-from-breast-reduction-surgery/,case-study-healing-and-scars-from-breast-reduction-surgery,,http://www.exploreplasticsurgery.com/2014/09/19/case-study-healing-and-scars-from-breast-reduction-surgery/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2014/06/01/case-study-juvederm-voluma-injections-for-chin-augmentation/,case-study-juvederm-voluma-injections-for-chin-augmentation,,http://www.exploreplasticsurgery.com/2014/06/01/case-study-juvederm-voluma-injections-for-chin-augmentation/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2014/01/19/case-study-large-breast-augmentation-results/,case-study-large-breast-augmentation-results,,http://www.exploreplasticsurgery.com/2014/01/19/case-study-large-breast-augmentation-results/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2013/12/01/case-study-laser-resurfacing-for-facial-brown-spots/,case-study-laser-resurfacing-for-facial-brown-spots,,http://www.exploreplasticsurgery.com/2013/12/01/case-study-laser-resurfacing-for-facial-brown-spots/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2014/07/24/case-study-liposuction-of-the-large-male-neck/,case-study-liposuction-of-the-large-male-neck,,http://www.exploreplasticsurgery.com/2014/07/24/case-study-liposuction-of-the-large-male-neck/,,,https://exploreplasticsurgery.com
http://www.exploreplasticsurgery.com/2014/09/13/case-study-natural-blepharoplasty-results/,case-study-natural-blepharoplasty-results,,http://www.exploreplasticsurgery.com/2014/09/13/case-study-natural-blepharoplasty-results/,,,https://exploreplasticsurgery.com
